author;district;street;house_number;underground;floor;floors_count;rooms_count;total_meters;price_per_month;materials
Golden Home;Василеостровский;1-я Васильевского острова линия;22;Спортивная;3;3;2;60.0;150000;кирпичный
АРИН;Московский;Ленинский проспект;149К1;Московская;3;18;2;59.0;80000;кирпичный
NEDmax;Петроградский;набережная Реки Карповки;21;Петроградская;4;6;4;210.0;165000;кирпичный
Royal Realty;Адмиралтейский;набережная Адмиралтейского Канала;29;Василеостровская;3;4;3;352.0;700000;кирпичный
Royal Realty;Кировский;проспект Маршала Жукова;54к6;Ленинский проспект;2;8;3;122.0;80000;кирпичный
Las Vegas Санкт-Петербург;Центральный;Малая Конюшенная;4.2;Гостиный двор;3;5;2;58.0;100000;кирпичный
Мир Квартир PREMIUM;Центральный;Большая Московская;6;Владимирская;4;5;4;156.0;150000;кирпичный
Las Vegas Санкт-Петербург;Василеостровский;Беринга;23к2;Приморская;12;17;2;64.0;90000;кирпичный
Royal Realty;Центральный;переулок Басков;37-39;Чернышевская;4;5;3;140.0;135000;кирпичный
Мир Квартир PREMIUM;Петроградский;Петровская набережная;8;Горьковская;3;6;5;250.0;430000;кирпичный
Las Vegas Санкт-Петербург;Центральный;Таврическая;19;Чернышевская;1;5;1;50.0;95000;кирпичный
Royal Realty;Центральный;6-я Советская;32;Площадь Восстания;2;5;4;220.0;250000;кирпичный
Las Vegas Санкт-Петербург;Центральный;Рубинштейна;19.8;Достоевская;3;4;2;50.0;100000;кирпичный
Мир Квартир PREMIUM;Центральный;набережная Канала Грибоедова;47;Сенная площадь;2;4;4;106.0;140000;кирпичный
Мир Квартир PREMIUM;Василеостровский;Волховский переулок;4;Спортивная;4;7;2;125.0;160000;кирпичный
Las Vegas Санкт-Петербург;Центральный;Миргородская;20;Площадь Александра Невского;3;7;2;80.0;155000;кирпичный
Las Vegas Санкт-Петербург;Центральный;Рылеева;1.9;Чернышевская;2;3;2;87.0;150000;кирпичный
Royal Realty;Центральный;Черняховского;25;Лиговский проспект;9;11;3;95.0;170000;кирпичный
Мир Квартир PREMIUM;Петроградский;Профессора Попова;1;Петроградская;2;7;3;122.0;220000;кирпичный
Квартал Плюс;Красногвардейский;Большая Пороховская;33;Ладожская;1;5;1;40.0;24000;кирпичный
А2 ГРУПП;Пушкинский;шоссе Колпинское;36к1;Шушары;6;9;2;44.6;32000;кирпичный
Мир Квартир PREMIUM;Центральный;Кирочная;27;Чернышевская;4;4;1;37.0;65000;кирпичный
Итака;Московский;Витебский проспект;63;Звездная;1;9;1;29.0;28000;кирпичный
Петербургская Недвижимость;Невский;проспект Александровской фермы;8;Пролетарская;20;25;1;37.5;30000;кирпичный
ЮСОН;Выборгский;Руднева;25;Проспект Просвещения;6;14;1;30.0;28000;кирпичный
Capital Mars;Невский;Дыбенко;3;Улица Дыбенко;3;18;1;20.0;30000;кирпичный
Большой Дом;Московский;проспект Космонавтов;37;Московская;19;27;2;51.0;43000;кирпичный
ID 49581669;Петродворцовый;Озерковая;35;Ленинский проспект;4;5;1;30.9;22000;кирпичный
Невский простор;Красногвардейский;Новочеркасский проспект;22/15;Новочеркасская;5;9;1;32.0;40000;кирпичный
Royal Realty;Петроградский;Песочная набережная;12;Петроградская;3;12;1;86.0;190000;кирпичный
ID 85839443;Адмиралтейский;11-я Красноармейская;4;Балтийская;1;4;1;15.0;30000;кирпичный
Golden Home;Центральный;Мытнинская;9;Площадь Восстания;5;5;4;200.0;250000;кирпичный
Мир Квартир Элит;Центральный;Рубинштейна;3;Достоевская;2;7;2;115.0;220000;кирпичный
ID 9838714;Центральный;Фурштатская;14;Чернышевская;2;6;3;126.9;190000;кирпичный
Royal Realty;Петроградский;Петровский проспект;5;Спортивная;6;10;2;77.0;350000;кирпичный
Royal Realty;Петроградский;набережная Мартынова;74л;Крестовский остров;5;6;5;300.0;600000;кирпичный
ID 86693006;Пушкинский;шоссе Колпинское;40к1;Шушары;6;9;2;63.0;25000;кирпичный
NEDmax;Василеостровский;Морская набережная;15;Приморская;11;13;1;39.0;55000;кирпичный
Наталья Зинина;Фрунзенский;Димитрова;16К1;Проспект Славы;6;16;1;40.1;35000;кирпичный
ID 52223020;Невский;Октябрьская набережная;124к7;Ломоносовская;14;19;1;33.0;30000;кирпичный
Ю-Питер;Петроградский;Вяземский переулок;6;Петроградская;7;11;1;40.0;70000;кирпичный
Golden Home;Московский;Парфеновская;17;Московские ворота;13;14;1;44.9;70000;кирпичный
ID 1811428;Невский;Русановская;16к1;Ломоносовская;14;24;1;21.0;27000;кирпичный
AxM.Agency;Адмиралтейский;Большая Подьяческая;10Б;Садовая;6;6;3;76.7;80000;кирпичный
Надежда Демченко;Фрунзенский;Альпийский переулок;33к1;Проспект Славы;15;17;3;105.0;80000;кирпичный
ПАН;Калининский;Гражданский проспект;43К1;Академическая;2;3;1;40.0;30000;кирпичный
ЦЕХ НЕДВИЖИМОСТИ;Василеостровский;Нахимова;2;Приморская;4;5;1;30.7;40000;кирпичный
Надежда Демченко;Фрунзенский;Альпийский переулок;33к1;Проспект Славы;15;17;1;51.0;45000;кирпичный
ID 71494955;Выборгский;Михаила Дудина;25к1;Парнас;5;25;1;38.0;32000;кирпичный
Денис Цуркан;Выборгский;Николая Рубцова;12к1;Парнас;4;27;1;39.0;35000;кирпичный
NEDmax;Выборгский;проспект Тореза;71К3;Удельная;2;3;3;77.0;80000;кирпичный
ID 85992634;Приморский;Лисичанская;8;Черная речка;1;6;1;27.0;35000;кирпичный
Golden Home;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;5;12;1;39.0;85000;кирпичный
Lighthome Real Estate;Выборгский;Выборгская;12;Выборгская;2;7;3;90.0;150000;кирпичный
REDA bureau;Пушкинский;Генерала Хазова;12;Купчино;2;5;2;55.0;35000;кирпичный
Ксения Ковалёва;Приморский;Коломяжский проспект;20;Пионерская;8;25;4;146.0;150000;кирпичный
NEDmax;Василеостровский;10-я Васильевского острова линия;17к2;Василеостровская;3;9;2;75.6;100000;кирпичный
ID 14141622;Приморский;проспект Авиаконструкторов;54с1;Комендантский проспект;9;12;1;26.0;40000;кирпичный
NEDmax;Центральный;Смольный проспект;17;Новочеркасская;3;8;2;56.0;120000;кирпичный
Golden Home;Петроградский;Шамшева;14;Чкаловская;6;8;4;125.0;140000;кирпичный
FLATSTORE;Выборгский;проспект Энгельса;93;Удельная;8;18;1;47.0;45000;кирпичный
Elite Realty Services;Адмиралтейский;Адмиралтейская набережная;12-14;Адмиралтейская;3;5;5;192.0;157000;кирпичный
Мир Квартир PREMIUM;Центральный;Лиговский проспект;50к8Ж;Площадь Восстания;2;3;4;250.0;350000;кирпичный
Евгения Осипова;Адмиралтейский;Верейская;54;Технологический институт;1;4;1;13.5;35000;кирпичный
Golden Home;Василеостровский;Наличная;55;Приморская;8;12;2;55.0;75000;кирпичный
Royal Realty;Петроградский;набережная Мартынова;12;Крестовский остров;2;5;4;170.0;350000;кирпичный
ID 1398646;Красносельский;Лермонтова;12к2;Проспект Ветеранов;5;5;1;32.0;18000;кирпичный
ID 50075712;Пушкинский;Березовая;27;Купчино;1;7;1;42.0;23000;кирпичный
ID 131246911;Калининский;Кондратьевский проспект;70к1;Площадь Ленина;10;16;1;40.0;40000;кирпичный
ST Real Estate;Адмиралтейский;набережная Канала Грибоедова;97;Садовая;4;5;2;75.6;63000;кирпичный
ID 92861427;Московский;Пулковская;8к1;Звездная;5;25;2;65.0;85000;кирпичный
ID 82181818;Красносельский;Ленинский проспект;77к2;Ленинский проспект;1;14;1;34.0;36000;кирпичный
1-е Центральное Городское Агентство;Выборгский;Валерия Гаврилина;5;Парнас;24;25;1;38.0;35000;кирпичный
ID 71758849;Приморский;Комендантский проспект;28К1;Комендантский проспект;4;17;1;36.0;30000;кирпичный
Royal Realty;Центральный;Полтавский проезд;3;Площадь Восстания;6;8;2;65.0;165000;кирпичный
Сергей Балдов;Выборгский;Николая Рубцова;11к1;Парнас;22;27;1;36.0;28000;кирпичный
Наталья Воронина;Адмиралтейский;Шкапина;42;Балтийская;2;7;1;19.8;37000;кирпичный
ПАН;Выборгский;Валерия Гаврилина;15;Парнас;25;27;1;40.0;28000;кирпичный
Артем Науменко;Адмиралтейский;Вознесенский проспект;37/6;Садовая;2;7;2;40.0;50000;кирпичный
ЖИЛФОНД Санкт-Петербург;Выборгский;проезд Толубеевский;36к2;Парнас;2;25;1;27.0;24000;кирпичный
Домклик Аренда;Выборгский;проспект Тореза;40К1;Политехническая;8;9;1;29.0;29400;кирпичный
ИП Касюрина Н. В.;Московский;Авиационная;22;Московская;3;5;1;30.9;45000;кирпичный
ID 13006242;Калининский;проспект Металлистов;116к1;Выборгская;4;14;1;30.0;32000;кирпичный
Golden Home;Центральный;Кременчугская;19к1;Площадь Александра Невского;10;10;1;54.0;129000;кирпичный
Golden Home;Адмиралтейский;Английская набережная;20;Адмиралтейская;1;3;3;175.0;150000;кирпичный
ID 88834375;Кировский;Дачный проспект;38К1;Проспект Ветеранов;6;9;1;33.3;35000;кирпичный
Stanley Realty;Центральный;Полтавский проезд;3;Площадь Восстания;6;9;2;65.0;160000;кирпичный
Golden Home;Центральный;Кременчугская;19к1;Площадь Александра Невского;9;9;1;45.0;119000;кирпичный
Итака;Кировский;бульвар Новаторов;94;Проспект Ветеранов;6;12;2;47.0;30000;кирпичный
Golden Home;Адмиралтейский;Московский проспект;75;Фрунзенская;3;6;3;75.0;85000;кирпичный
Golden Home;Центральный;Фурштатская;14;Чернышевская;2;5;3;127.0;190000;кирпичный
Русский Фонд Недвижимости;Петродворцовый;Санкт-Петербургское шоссе;96;Ленинский проспект;5;5;1;31.0;23000;кирпичный
Stanley Realty;Петроградский;Петровский проспект;5;Спортивная;6;10;3;86.0;245000;кирпичный
Stanley Realty;Центральный;набережная Реки Фонтанки;64;Достоевская;4;5;3;194.0;160000;кирпичный
Вертикаль;Выборгский;Орбели;27К2;Площадь Мужества;4;5;2;45.0;35000;кирпичный
Антон Ливанцов;Пушкинский;Малиновская;8;Купчино;1;5;1;41.1;29000;кирпичный
Невская Недвижимость;Выборгский;Лиственная;18к1;Озерки;6;25;1;28.0;30000;кирпичный
Наталья Храмова;Пушкинский;Ростовская;26к2;Шушары;6;10;2;79.2;28000;кирпичный
Экотон;Петродворцовый;проспект Буденного;26к3;Проспект Ветеранов;4;4;-1;25.0;25000;кирпичный
Алексей Никульшин;Выборгский;Федора Абрамова;23к1;Парнас;6;25;1;37.0;30000;кирпичный
Екатерина Яковлева;Калининский;Бутлерова;22К2;Академическая;7;9;1;31.0;30000;кирпичный
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Петродворцовый;Красноармейская;27;;5;5;2;44.3;25000;кирпичный
Будь первым;Кировский;Морские ворота;16с1;Нарвская;1;4;-1;26.0;30000;кирпичный
Soft House Estate;Приморский;Ивинская;7;Беговая;4;22;1;32.3;30000;кирпичный
ЮВИКОЛ;Колпинский;дорога Балканская;14к2;Рыбацкое;10;11;1;35.0;29000;кирпичный
Елена Витковская;Фрунзенский;Альпийский переулок;14;Проспект Славы;9;9;1;34.0;30000;кирпичный
Fortuna SPb;Калининский;Светлановский проспект;68К1;Гражданский проспект;12;14;1;37.0;30000;кирпичный
Юлия Алексеевна Скворцова;Невский;Российский проспект;8;Проспект Большевиков;6;20;1;25.6;32000;кирпичный
AGENT.PRO недвижимость;Выборгский;Гаврская;11;Удельная;6;9;2;39.0;35000;кирпичный
Будь первым;Пушкинский;Ростовская;13-15;Шушары;7;9;2;68.0;26000;кирпичный
Панорама;Выборгский;Федора Абрамова;8;Парнас;24;27;1;39.0;30000;кирпичный
Панорама;Выборгский;проспект Луначарского;23;Озерки;8;16;1;40.0;30000;кирпичный
Алексей Онишко;Приморский;Фермское шоссе;36К5;Удельная;1;5;2;45.0;35000;кирпичный
Валерий Боровков;Выборгский;Федора Абрамова;4;Парнас;6;27;1;36.0;33000;кирпичный
Самолет Плюс СПБ Приморский;Приморский;аллея Арцеуловская;9;Комендантский проспект;7;15;1;26.0;28000;кирпичный
Эрмитаж Галерея Недвижимости;Приморский;проспект Сизова;25;Комендантский проспект;8;25;1;36.0;33000;кирпичный
Юлия Сафонова;Выборгский;Валерия Гаврилина;15;Парнас;14;27;1;37.0;28000;кирпичный
Будь первым;Кировский;проспект Ветеранов;109К3;Проспект Ветеранов;5;17;1;38.0;33000;кирпичный
Алексей Карасёв;Калининский;Кондратьевский проспект;66к1;Лесная;16;16;1;45.0;38000;кирпичный
Панорама;Приморский;Ланская;10;Пионерская;5;5;1;30.0;35000;кирпичный
Валерий Боровков;Кировский;Краснопутиловская;28/20;Автово;3;5;1;43.0;35000;кирпичный
ДомИн;Кировский;проспект Ветеранов;90;Проспект Ветеранов;6;9;1;34.0;29000;кирпичный
Будь первым;Приморский;Камышовая;4к1;Комендантский проспект;10;18;1;47.0;35000;кирпичный
Елена Витковская;Красногвардейский;проспект Наставников;43к1;Проспект Большевиков;10;16;1;40.0;35000;кирпичный
Невский Альянс;Выборгский;Заречная;33;Парнас;20;20;1;35.0;28000;кирпичный
RSD;Московский;проспект Космонавтов;37;Московская;17;25;1;33.1;40000;кирпичный
Ольга Титова;Невский;проспект Большевиков;33К1;Улица Дыбенко;8;9;1;35.0;29000;кирпичный
Панорама;Приморский;Туристская;28к1;Комендантский проспект;15;17;1;38.0;35000;кирпичный
ЭксперТ;Колпинский;Тверская;6;Шушары;3;4;2;45.0;35000;кирпичный
ЭВО;Приморский;Богатырский проспект;55к1;Комендантский проспект;11;22;1;40.0;37000;кирпичный
Олеся Стрельченко;Кировский;Дачный проспект;21К5;Проспект Ветеранов;3;5;1;38.0;35000;кирпичный
Экотон;Московский;Пилотов;15К1;Звездная;4;5;1;31.0;30000;кирпичный
Надежда Воробьева;Московский;Новоизмайловский проспект;69;Московская;1;12;1;40.0;40000;кирпичный
8 ЭТАЖ;Невский;Ворошилова;31к1;Проспект Большевиков;20;22;1;42.0;38000;кирпичный
Адвекс;Выборгский;Гданьская;5К2;Удельная;3;5;1;31.1;33000;кирпичный
Наталья Копенкина;Выборгский;проспект Пархоменко;20;Пионерская;2;5;1;38.0;37000;кирпичный
Инь-Ян;Выборгский;Николая Рубцова;12к1;Парнас;24;25;1;36.9;37000;кирпичный
Экотон;Красносельский;Авангардная;27;Проспект Ветеранов;6;9;1;34.0;30000;кирпичный
Светлана Майорова;Курортный;Гагаринская;77к1;Беговая;3;6;1;37.0;38000;кирпичный
Максим Аксенов;Приморский;Комендантский проспект;34к1;Комендантский проспект;11;16;1;42.0;38000;кирпичный
Смарт Инновации;Московский;проезд Дизельный;11к1;Звездная;11;18;1;21.9;30000;кирпичный
Артем Науменко;Приморский;Торжковская;1к2;Черная речка;12;16;1;45.0;42000;кирпичный
Нина Вилесова;Приморский;Ивинская;13;Беговая;2;22;2;60.5;42000;кирпичный
ID 122312812;Центральный;Суворовский проспект;39;Площадь Восстания;1;4;-1;14.0;35000;кирпичный
ПАН;Фрунзенский;Загребский бульвар;19К1;Дунайская;12;16;3;70.0;45000;кирпичный
MegapoliSpb;Адмиралтейский;5-я Красноармейская;18;Технологический институт;1;5;3;60.0;58000;кирпичный
Казанская площадь;Калининский;Гражданский проспект;31К1;Академическая;7;9;2;49.0;44000;кирпичный
ЭВО;Центральный;4-я Советская;37;Площадь Восстания;1;6;2;44.0;55000;кирпичный
ID 3035266;Невский;Народная;45;Ломоносовская;8;8;1;36.0;28000;кирпичный
Сергей Чистовский;Калининский;проспект Непокоренных;74;Академическая;8;13;2;52.0;39999;кирпичный
ID 64214984;Калининский;Руставели;60;Гражданский проспект;15;16;1;30.0;30000;кирпичный
Александр Пьянков;Выборгский;Дрезденская;10К2;Удельная;3;5;1;32.0;28000;кирпичный
ЭЛИТцентр;Красносельский;проспект Маршала Жукова;41;Ленинский проспект;23;25;2;64.0;55000;кирпичный
ID 85039112;Выборгский;проспект Просвещения;27;Проспект Просвещения;9;12;1;25.1;30000;кирпичный
Home estate;Красногвардейский;Крюкова;1;Площадь Ленина;2;5;1;32.0;30000;кирпичный
ID 13636910;Невский;Октябрьская набережная;98К2;Ломоносовская;4;4;2;47.0;28000;кирпичный
Жилищный вопрос;Выборгский;Есенина;1к1;Озерки;16;25;1;38.0;34000;кирпичный
ПРОСПЕКТ;Приморский;Коломяжский проспект;28к2;Пионерская;2;14;2;65.5;45000;кирпичный
Сергей Частухин;Выборгский;Выборгское шоссе;27к3;Проспект Просвещения;7;25;1;27.0;24990;кирпичный
Наталия Бобринская;Василеостровский;Наличная;27;Приморская;2;5;2;56.0;50000;кирпичный
ID 115989480;Выборгский;Валерия Гаврилина;5;Парнас;8;26;1;33.0;25000;кирпичный
ПАН;Приморский;Сестрорецкая;1;Черная речка;3;5;2;60.0;67000;кирпичный
Максим Аксенов;Невский;Крыленко;13к4;Улица Дыбенко;1;10;1;34.0;40000;кирпичный
FisherGroup;Выборгский;проспект Пархоменко;31;Площадь Мужества;5;5;2;51.0;43000;кирпичный
Алексей Пырлик;Выборгский;Светлановский проспект;35;Политехническая;4;9;1;39.0;30000;кирпичный
Пальмира;Московский;Бассейная;10;Парк Победы;12;16;1;56.0;50000;кирпичный
Этажи Санкт-Петербург;Приморский;Ивинская;19к2;Беговая;9;24;1;35.3;20000;кирпичный
Денис Уланов;Выборгский;проспект Художников;33к4;Проспект Просвещения;7;16;1;24.0;27000;кирпичный
Адвекс;Московский;Московский проспект;74;Фрунзенская;4;6;3;70.6;40000;кирпичный
Петербургская Недвижимость;Красногвардейский;проспект Наставников;3к1;Проспект Большевиков;10;13;1;30.0;50000;кирпичный
Аксентьев Недвижимость;Невский;Рыбацкий проспект;18к2;Рыбацкое;9;29;1;28.0;28000;кирпичный
ЭВО;Московский;Пулковская;2к1;Звездная;7;10;1;38.0;35000;кирпичный
Городской Центр Недвижимости;Петродворцовый;Халтурина;9;;2;5;1;31.5;23000;кирпичный
Инь-Ян;Московский;Фрунзе;15;Парк Победы;1;7;2;57.4;70000;кирпичный
МЕТРАЖИ;Приморский;Омская;13;Пионерская;1;5;1;30.2;28000;кирпичный
Владимир Колыманов;Красногвардейский;проспект Металлистов;15;Новочеркасская;7;14;2;55.0;60000;кирпичный
Наталья  Баздырева;Калининский;Гражданский проспект;116к5;Гражданский проспект;6;16;1;44.5;40000;кирпичный
Татьяна Орлова;Калининский;Гражданский проспект;15К3;Академическая;2;5;2;43.6;34000;кирпичный
Ксения Цветкова;Красносельский;Ленинский проспект;91;Ленинский проспект;8;19;1;40.0;28000;кирпичный
Антон Ливанцов;Пушкинский;Малиновская;8;Купчино;3;4;2;54.0;40000;кирпичный
Адвекс;Центральный;Шпалерная;28;Чернышевская;4;4;2;72.4;60000;кирпичный
Александр Головин;Адмиралтейский;Казанская;26/27;Спасская;2;6;1;15.0;50000;кирпичный
ID 1085104;Кировский;Лени Голикова;31;Проспект Ветеранов;8;9;1;35.0;33000;кирпичный
ID 85700891;Выборгский;Николая Рубцова;11к1;Парнас;23;28;1;35.0;28000;кирпичный
Юлия Алексеевна Скворцова;Центральный;Тверская;16;Чернышевская;4;6;3;78.1;70000;кирпичный
Петербургская Недвижимость;Фрунзенский;Бухарестская;118к1;Дунайская;11;17;1;47.1;45000;кирпичный
ID 65962151;Красногвардейский;проспект Наставников;34;Ладожская;10;23;1;31.2;32000;кирпичный
Ольга      Шадрунова;Московский;Варшавская;61к1;Московская;4;24;2;96.0;70000;кирпичный
Сергей Чистовский;Приморский;Туристская;11к2;Беговая;18;25;2;64.0;50000;кирпичный
АФИНА;Петроградский;Ординарная;6;Петроградская;1;6;2;59.8;75000;кирпичный
Александр Смыков;Пушкинский;Центральная;8к3;Шушары;3;5;1;35.0;22000;кирпичный
ID 92317865;Приморский;Ивинская;13;Беговая;14;24;1;35.0;36000;кирпичный
Антонина Гаврилова;Адмиралтейский;Спасский переулок;6-8;Сенная площадь;2;5;1;50.0;70000;кирпичный
Лидия Казак;Фрунзенский;Стрельбищенская;30;Бухарестская;3;5;2;60.0;85000;кирпичный
АРИН;Адмиралтейский;Нарвский проспект;10;Нарвская;2;5;1;48.6;50000;кирпичный
Будь первым;Адмиралтейский;11-я Красноармейская;12;Балтийская;5;6;2;47.0;60000;кирпичный
MegapoliSpb;Адмиралтейский;Декабристов;48;Садовая;1;3;2;47.0;70000;кирпичный
FLATSTORE;Кировский;Васи Алексеева;28;Кировский завод;2;5;3;57.0;45000;кирпичный
Инна Горлова;Приморский;Коломяжский проспект;9к1;Пионерская;18;25;2;70.0;90000;кирпичный
ЭВО;Выборгский;Шишкина;303к1;Парнас;5;25;2;45.0;40000;кирпичный
Александр Головин;Центральный;Владимирский проспект;3;Достоевская;3;5;1;15.0;52000;кирпичный
ID 90375555;Калининский;Гражданский проспект;23К2;Академическая;2;5;1;30.0;31000;кирпичный
Артем Науменко;Центральный;9-я Советская;30;Площадь Восстания;1;3;2;41.0;65000;кирпичный
Ольга Свищёва;Московский;Пулковская;2к1;Звездная;9;10;2;60.0;45000;кирпичный
ID 13503699;Выборгский;проезд Толубеевский;24;Парнас;20;25;1;27.0;27000;кирпичный
Олег Strukov;Приморский;1-я Утиная;28;Озерки;7;8;1;52.0;40000;кирпичный
ЭВО;Красногвардейский;Новочеркасский проспект;39К2;Новочеркасская;4;5;2;58.0;55000;кирпичный
Валерий Боровков;Выборгский;Михаила Дудина;25к1;Парнас;1;25;2;62.0;45000;кирпичный
MegapoliSpb;Центральный;Тверская;3.1;Чернышевская;7;7;2;70.0;120000;кирпичный
МЕЙСОН;Кировский;проспект Стачек;212к3;Ленинский проспект;5;14;1;35.0;30000;кирпичный
АЛЕФ-недвижимость;Выборгский;Федора Абрамова;16к1;Парнас;15;23;2;57.0;39000;кирпичный
Коллегия Риэлторов;Василеостровский;15-я Васильевского острова линия;86;Василеостровская;4;6;2;65.0;60000;кирпичный
Александр Головин;Центральный;Невский проспект;63;Маяковская;5;5;1;15.0;55000;кирпичный
ХэштегриэлТ;Колпинский;Богайчука;22;Рыбацкое;6;9;2;50.6;30000;кирпичный
Итака;Красносельский;Петергофское шоссе;17к1;Ленинский проспект;5;25;1;39.0;27000;кирпичный
Валерий Облов;Московский;Московский проспект;193;Московская;3;10;3;75.0;77000;кирпичный
АТЛАНТА;Фрунзенский;Загребский бульвар;19К1;Дунайская;6;16;2;56.0;45000;кирпичный
Юлия Попова;Выборгский;Валерия Гаврилина;11к1;Парнас;23;23;2;60.0;45000;кирпичный
Фабрика Недвижимости;Пушкинский;шоссе Колпинское;38к1;Купчино;9;10;2;65.0;35000;кирпичный
Ваш Риэлтор;Центральный;Таврическая;5;Чернышевская;2;6;2;60.0;70000;кирпичный
BE HOME;Василеостровский;Кожевенная линия;40;Горный институт;3;4;2;69.0;145000;кирпичный
ЮГАН;Адмиралтейский;Английский проспект;17-19;Садовая;7;7;1;40.0;75000;кирпичный
ID 86424667;Выборгский;Большой Сампсониевский проспект;72;Лесная;5;7;2;51.0;32000;кирпичный
Риэлторские Услуги;Московский;Варшавская;19к2;Электросила;9;17;1;34.0;45000;кирпичный
ID 79046376;Петродворцовый;Путешественника Козлова;18;Ленинский проспект;2;3;2;44.0;27000;кирпичный
Валерий Боровков;Кировский;Дачный проспект;19К1;Проспект Ветеранов;5;9;3;59.0;42000;кирпичный
Нина Обманкина;Приморский;Савушкина;117к2;Старая Деревня;3;16;1;40.0;40000;кирпичный
Адвекс;Выборгский;Новороссийская;2;Пионерская;2;6;2;43.5;38000;кирпичный
Петербургская Недвижимость;Петроградский;Большая Монетная;31-33;Петроградская;4;5;3;78.5;95000;кирпичный
Будь первым;Адмиралтейский;Садовая;111-113;Балтийская;5;5;1;43.0;65000;кирпичный
ЦАН - Центральное Агентство Недвижимости;Петродворцовый;Разводная;21а;;4;9;1;32.0;22000;кирпичный
Ольга Мелешко;Московский;Варшавская;19к5;Электросила;16;22;2;65.0;60000;кирпичный
ID 90715066;Кронштадтский;Широкая;8;;1;5;1;30.7;30000;кирпичный
